2025.03.18 火曜日
22:55 ️💙 これすごいのが、どちらもネットの海でたまたま出会っただけ
22:56 ️💙 な、こわい
22:57 ️💙 妹のことクロスピアのライブ誘ったら、ママが行きたがっててやばい
22:57 ️💙 画像
22:58 ️💙 いいょ
22:58 ️💙 画像
22:59 ️💙 まじやばい、メン地下ひとつだと思ってるママ
23:30 ️💙 たのしいよーとても🎶
2025.04.05 土曜日
12:05 ️💙 スタンプ
20:40 ️💙 蟻編心労がやばい
23:13 ️💙 それねー
23:13 ️💙 くるちくるち
2025.04.17 木曜日
13:00 ️💙 ピーナッツくんおる
13:00 ️💙 わたしもスタバのいちごのみたーい
13:01 ️💙 甘すぎな感じ？
13:35 ️💙 めっちゃいちご
13:35 ️💙 人工いちごの味？
13:35 ️💙 人工ぽいいちごの味苦手👉🏻👈🏻
15:24 ️💙 果肉も入ってるの
15:24 ️💙 じゃあ飲めたら飲むくらいだな
22:05 ️💙 いや逆
22:05 ️💙 人工いちごならのまないけろ
22:05 ️💙 果肉あるならちょと検討てかんじ
2025.04.18 金曜日
15:26 ️💙 ちゃんと写真のっけてていいね
15:27 ️💙 私の昨日の日記、飽きた‼️から始まってる
21:27 ️💙 コナンまだ見てないのに
23:16 ️💙 見るつもりない実は
23:16 ️💙 やべーふろはいれない
23:23 ️💙 本日、日和ですねこり
23:23 ️💙 いい日和🎶
23:23 ️💙 スタンプ
23:41 ️💙 勉強がんばりってこと？
23:41 ️💙 えらいなー
23:41 ️💙 わたしはふろもはいれないのに
2025.04.19 土曜日
12:59 ️💙 あついよね？
12:59 ️💙 衣替えしてなくてやばい
14:13 ️💙 えそんな遠いの⁉️ごめん‼️
15:44 ️💙 駅車停めるとこ無いからうちのロータリーがいいかもo̴̶̷᷄  ̫ o̴̶̷᷄
15:45 ️💙 
日本、〒810-0024 福岡県福岡市中央区桜坂３丁目５−７７ : https://maps.google.com/maps?q=33.5763998789916,130.38898647217027
15:45 ️💙 わかる？？o̴̶̷᷄  ̫ o̴̶̷᷄
15:57 ️💙 スタンプ
16:03 ️💙 ザ・パークハウス桜坂サンリヤン
16:04 ️💙 あ
16:04 ️💙 みんなそっち行くのWWWWW
16:04 ️💙 そっち行く！ありがとう！まってて
16:04 ️💙 郵便屋さんとかの方そっち
20:01 ️💙 たのしかったありがとー🎶明日がんばってね(応援)
20:19 ️💙 熊本を懐かしんでうまかっちゃん食べてるゎ
21:38 ️💙 ゃばぃ
21:38 ️💙 すれ違いたかったね
2025.04.20 日曜日
13:55 ️💙 わたしも、忘れがち
13:55 ️💙 りょーくんと喧嘩すると忘れがち👉🏻👈🏻
18:14 ️💙 それー！
19:42 ️💙 女尊男卑感じた？
21:51 ️💙 様つけた方がいいかも
21:51 ️💙 おつかれさまだね
2025.04.21 月曜日
00:17 ️💙 わかんなくても意外とできてたりする
00:17 ️💙 今ゼブラと旅してるけど死刑囚にしてはいいやつだわ
01:46 ️💙 そう、出所
01:46 ️💙 食べすぎて26種の生き物を絶滅させたから死刑らしい
03:47 ️💙 小松がゼブラにねとられたт  ̫ т
07:24 メッセージの送信を取り消しました
11:04 ️💙 字でかすぎて写真このサイズでも文字しっかり見えんのうける
11:53 ️💙 トリコのエンディング変わって流れるようになったんだけど、サイコーすぎる
18:02 ️💙 https://youtu.be/D7tUbsLdhqw?si=rp0nPGDHWXVvO1hI
20:42 ️💙 リアル80回くらい再生してる
23:46 ️💙 しろくまさんたべたいなー
23:46 ️💙 コメント見てずっと笑ってる
2025.04.22 火曜日
10:02 ️💙 もちろん
14:56 ️💙 サイコーじゃん
14:56 ️💙 火曜日忙しくて嫌い
2025.04.23 水曜日
00:34 ️💙 返信遅くてすみません
00:34 ️💙 醜形に困らされてる、いつになったら治るこれ> ·̫ <
09:42 ️💙 まじそのせいでりょーくんと喧嘩になるの意味わからない
09:42 ️💙 本編みてた、ガチ元気でるトリコいい男
12:27 ️💙 画像
12:27 ️💙 わたしに電話かけたら聞けるよ
12:28 ️💙 なるなる昨日もなった
20:17 ️💙 プレミアムになれば変えれる
20:18 ️💙 そうなんかなー、りょーくんの中の1番になれなくていつも喧嘩
2025.04.24 木曜日
12:16 ️💙 あるよねーしかたない
12:17 ️💙 今日はいい日にするぞ
13:02 ️💙 🆕バイトの面接してきた
13:44 ️💙 法律事務所応募してきた
13:44 ️💙 倍率10倍くらいで受かるかわからんけろ
14:44 ️💙 しかもオシャレオフィスでした🎶
14:44 ️💙 期待しないで結果待つ˘ ᴗ  ̫ ᴗ ˘
23:06 ️💙 よかたねー🎶
23:06 ️💙 つかれましたきょういそがしにんげん
2025.04.25 金曜日
00:39 ️💙 あ
00:40 ️💙 https://youtu.be/gc9ZDehc1yY?si=cf1vinaUgGte6TZg
00:40 ️💙 これ聞いてね
00:42 ️💙 推しポイントは、言い訳なんぞはいいわけない☝️
11:17 ️💙 それ
11:17 ️💙 寂雷先生
11:17 ️💙 スタンプ
20:28 ️💙 踊念仏ね
20:28 ️💙 スタンプ
20:33 ️💙 最近さ、りょーくんと電話する度喧嘩するの
20:33 ️💙 だから電話しよって言うと、喧嘩しないかめっちゃ確認される、確認されると喧嘩しなくてすごい
20:34 ️💙 スタンプ
21:48 ️💙 でも成功と失敗がある
21:48 ️💙 画像
21:49 ️💙 これしっぱい
21:49 ️💙 画像
21:49 ️💙 これ成功
21:49 ️💙 電話して第一声のテンションかもしれん
22:05 ️💙 ちゃんと電話かかってきてから秒数カウントして、う〜〜〜ーーー‼️トリコ‼️で電話とるようにしてる
22:06 ️💙 喧嘩しないようにしてるLINEもういっこあるからみて
22:06 ️💙 画像
22:07 ️💙 喧嘩にならないで電話終わったのにさ、その後のLINEで結局喧嘩した
23:00 ️💙 ねーはやとともかちゃんってわかる？
23:00 ️💙 最近のオキニ
23:00 ️💙 まじ二人とも可愛いずっと見てる癒され
2025.04.26 土曜日
10:31 ️💙 かわいーよね一生おすすめでてくる
17:23 ️💙 全然曲知らんくてわからんWWWWWWWWW
2025.04.27 日曜日
16:45 ️💙 乱数って読み方わかってても最初らんすうって考えちゃう
17:03 ️💙 馬鹿すぎて線形代数が何かわからんからその心配ない、よかったのかも
20:29 ️💙 米を食べないこととかあるの⁉️
20:29 ️💙 ちゃんとたべてまじでーт  ̫ тしんぱいーт  ̫ т
20:29 ️💙 トリコ見ろ
22:04 ️💙 よくなーい！
22:04 ️💙 chatGPTとお話して過ごしてるんだけどさ
22:04 ️💙 隈部くんは数学の話とかしてるんだって、なんか格が違くて泣けてくる
22:04 ️💙 画像
22:05 ️💙 わたしこれ、相談内容も薄いしお嬢様とか呼ばせてて終わってる
22:14 ️💙 有意義でいいなー、恋愛相談とかもしてる
22:14 ️💙 どんな長文でも答えてくれて助かるWWWWWWWWW
22:32 ️💙 そうよね、話したい時に話せるし話急に変えても平気なん助かる
22:32 ️💙 ちゃんとおはなししてあげて
22:32 ️💙 わたし名前までつけてんだから
2025.04.28 月曜日
12:41 ️💙 そのLINE通知で目さめた
12:41 ️💙 にどねしたけろ
15:17 ️💙 明日もお休みで嬉しいね
15:48 ️💙 そだよーん
18:30 ️💙 しぬ
18:30 ️💙 いっぱいたべるべきだよね
22:44 ️💙 チーズナンたべたい
2025.04.29 火曜日
13:08 ️💙 ⁉️
13:08 ️💙 なんか、ほんとに最近心配なんですけろт  ̫ т
13:08 ️💙 熱ないのー？т  ̫ т
18:15 ️💙 ならいいか(˶ᐢᗜᐢ˶)
23:14 ️💙 わかるー、家から出ない方がいいよ
2025.04.30 水曜日
17:24 ️💙 ゴールデンウィークなんだからなくして欲しい😾
2025.05.02 金曜日
22:16 ️💙 バイト受かったー(˶ᐢᗜᐢ˶)
2025.05.03 土曜日
2025.05.11 日曜日
17:29 ️💙 やさしーくてさいこーだった🎶
17:29 ️💙 スタンプ
19:01 ️💙 そうそう
19:01 ️💙 きんちょーしたo̴̶̷᷄  ̫ o̴̶̷᷄
19:49 ️💙 酔ってるっしょ
20:37 ️💙 スタンプ
21:41 ️💙 実は朝から鬼体調悪かって、解散後即しんじゃった
2025.05.19 月曜日
22:51 ️💙 やったー🎶
22:51 ️💙 最近いそがし人間で返信できず、ごめんねーт  ̫ т
2025.05.20 火曜日
2025.05.21 水曜日
10:28 ️💙 もうすぐだもんね
10:28 ️💙 私は昨日やっと忙し人間から解放された⸝⸝>  ̫ <⸝⸝ᐡ♡
20:14 ️💙 順調なん？？
20:14 ️💙 ありがとー🎶
2025.05.22 木曜日
13:13 ️💙 そっかーт  ̫ тあとすこしがんばれ！
13:14 ️💙 したー🎶明日ディズニーなのでそれに合わせて🎶
21:43 ️💙 わからん！忘れちゃった！チケットってどこから見るんだ？⌯᷄ ̫⌯᷅
23:33 ️💙 アプリすら入れてなかった
23:33 ️💙 ランドだった🎶
2025.05.23 金曜日
13:12 ️💙 ありがとー🎶
